name,pieces,price
Spider-Man and the Museum Break-In,49,"$14.99, 14.99€ | "
Summer Celebration Minifigure Pack,45,"$12.99, 12.99€ | "
Mars Exploration Minifigure Pack,44,"$12.99, 12.99€ | "
LEGOLAND,1336,
LEGOLAND Driving School,209,
Birthday Clown,150,"$9.99, 9.99€ | "
Valentine's Puppy,150,"$9.99, 9.99€ | "
Easter Chick,120,"$9.99, 9.99€ | "
Halloween Ghost,136,"$9.99, 9.99€ | "
Scarecrow,,
"Reindeer, Elf & Elfie",,
Dragon Dance Guy,170,"$9.99, 9.99€ | "
LEGO House Exclusive Minifigure 2019,7,
LEGO Store Picture Frame,170,14.99€ 
Name Sign,91,"$9.99, 9.99€ | "
Battle of Endor,,
LEGO House Dinosaurs,864,
Lady Liberty,153,"$9.99, 9.99€ | "
Christmas Accessories,,
Plants from Plants,,
Jasmine's Petite Tower,49,"$9.99, 9.99€ "
Cinderella's Carriage Ride,91,"$19.99, 19.99€ "
Ariel's Castle,115,"$24.99, 24.99€ | "
Aladdin's and Jasmine's Palace Adventures,193,"$29.99, 29.99€ | "
"Ariel, Aurora, and Tiana's Royal Celebration",282,"$39.99, 44.99€ | "
Rapunzel's Small Tower,44,"$9.99, 9.99€ | "
Enchanted Tree House,,302
Anna's Canoe,,108
Elsa and the Reindeer Carriage,,116
Arendelle Castle,,521
Elsa's Jewellery Box,,300
Olaf,,122
Underwater Loop,389,"$29.99, 29.99€ | "
Andrea's Heart Box,84,"$7.99, 7.99€ | "
Emma's Heart Box,85,"$7.99, 7.99€ | "
Stephanie's Heart Box,85,"$7.99, 7.99€ | "
Olivia's Heart Box,85,"$7.99, 7.99€ | "
Mia's Heart Box,83,"$7.99, 7.99€ | "
Heart Box Friendship Pack,199,"$19.99, 19.99€ | "
Emma's Mobile Veterinary Clinic ,50,"$9.99, 9.99€ | "
Mia's Foal Stable ,118,"$19.99, 19.99€ | "
Heartlake City Supermarket,140,"$29.99, 29.99€ | "
Mia's Forest Adventures ,134,"$14.99, 14.99€ | "
Stephanie's Buggy & Trailer ,166,"$19.99, 19.99€ | "
Emma's Art Studio,235,"$24.99, 24.99€ | "
Olivia's Cupcake Cafe,335,"$29.99, 29.99€ | "
Stephanie's Obstacle Course,337,"$39.99, 39.99€ | "
Andrea's Talent Show,492,"$49.99, 49.99€ | "
Mia's House,715,"$69.99, 69.99€ | "
Mia's Horse Trailer,216,"$29.99, 29.99€ | "
Stephanie's Gymnastics Show,241,"$29.99, 29.99€ | "
Funny Octopus Ride,324,"$39.99, 39.99€ | "
Andrea's Pool Party,468,"$49.99, 49.99€ | "
Heartlake City Amusement Pier,1251,"$129.99, 129.99€ | "
Turtles Rescue Mission,225,"$19.99, 19.99€ | "
Dolphins Rescue Mission,363,"$39.99, 39.99€ | "
Heartlake City Restaurant,624,"$59.99, 59.99€ | "
Lighthouse Rescue Centre,602,"$59.99, 59.99€ | "
Rescue Mission Boat,908,"$89.99, 89.99€ | "
Friends Advent Calendar,330,"$29.99, 24.99€ | "
Olivia's Hamster Playground,81,"$9.99, 9.99€ | "
Andrea's Summer Heart Box,83,"$7.99, 7.99€ | "
Emma's Summer Heart Box,86,"$7.99, 7.99€ | "
Stephanie's Summer Heart Box,95,"$7.99, 7.99€ | "
Olivia's Summer Heart Box,93,"$7.99, 7.99€ | "
Mia's Summer Heart Box,85,"$7.99, 7.99€ | "
Emmet,113,$14.99 
Wyldstyle,134,$14.99 
Benny,103,$9.99 
Sweet Mayhem,137,$9.99 
Cherry Picker,155,"$9.99, 9.99€ | "
Power Boat,174,"$14.99, 14.99€ | "
Getaway Truck,128,"$19.99, 19.99€ | "
Police Pursuit,120,"$19.99, 19.99€ | "
Rescue Helicopter,325,"$39.99, 29.99€ | "
Chevrolet Corvette ZR1,579,"$49.99, 39.99€ | "
Tracked Loader,827,"$79.99, 59.99€ | "
Remote-Controlled Stunt Racer,324,"$99.99, 79.99€ | "
Porsche 911 RSR,1580,"$149.99, 149.99€ | "
Compact Crawler Crane,920,"$99.99, 89.99€ | "
Car Transporter,2493,"$179.99, 149.99€ | "
4x4 X-Treme Off-Roader,958,"$249.99, 229.99€ | "
Liebherr R 9800,,
Land Rover Defender,4,
Elsa's Ice Palace,,"$79.99, 69.99€ | "
Large Hub,,
Large Angular Motor,,
SPIKE Prime Set,523,
Expansion set,603,
Ski Resort,806,"$89.99, 79.99€ | "
Jet Patrol,54,"$9.99, 9.99€ | "
Drone Chase,192,"$29.99, 19.99€ | "
Parachute Arrest,218,"$39.99, 29.99€ | "
Diamond Heist,400,"$59.99, 49.99€ | "
Air Base,529,"$89.99, 74.99€ | "
Barbecue Burn Out,64,"$9.99, 9.99€ | "
Dock Side Fire,97,"$19.99, 14.99€ | "
Burger Bar Fire Rescue,327,"$39.99, 29.99€ | "
Fire Station,509,"$69.99, 59.99€ | "
Downtown Fire Brigade,943,"$99.99, 99.99€ | "
Fire Plane,363,"$59.99, 39.99€ | "
Desert Rally Racer,75,"$9.99, 9.99€ | "
Construction Loader,88,"$9.99, 9.99€ | "
Garbage Truck,90,"$19.99, 19.99€ | "
Diving Yacht,148,"$19.99, 19.99€ | "
Snow Groomer,197,"$19.99, 19.99€ | "
Harvester Transport,358,"$29.99, 29.99€ | "
Satellite Service Mission,84,"$9.99, 9.99€ | "
Rover Testing Drive,202,"$29.99, 19.99€ | "
Mars Research Shuttle,273,"$39.99, 29.99€ | "
Lunar Space Station,412,"$59.99, 49.99€ | "
Deep Space Rocket and Launch Control,837,"$99.99, 99.99€ | "
 Rocket Assembly &Transport,1055,"$149.99, 129.99€ | "
People Pack - Space Research and Development,209,"$39.99, 39.99€ | "
Fire Chief Response Truck,201,"$29.99, 19.99€ | "
Garage Centre,234,"$49.99, 39.99€ | "
Donut Shop Opening,790,"$89.99, 79.99€ | "
People Pack - Fun Fair,183,"$39.99, 39.99€ | "
City Advent Calendar,234,"$29.99, 19.99€ | "
Straight & T-Junction ,2,"$14.99, 9.99€ | "
Curves & Crossroad,2,"$14.99, 9.99€ | "
Police Patrol Car,92,"$9.99, 9.99€ | "
Kayak Adventure,84,"$9.99, 9.99€ | "
{?},,
Bonus/Value pack,,
Bonus/Value pack,,
2-in-1 Value Pack,,
J.B.'s Ghost Lab,174,"$19.99, 19.99€ | "
Wrecked Shrimp Boat,310,"$29.99, 29.99€ | "
Graveyard Mystery,335,"$29.99, 29.99€ | "
El Fuego's Stunt Truck,428,"$39.99, 39.99€ | "
Shrimp Shack Attack,579,"$49.99, 49.99€ | "
Paranormal Intercept Bus 3000,689,"$59.99, 59.99€ | "
Ghost Train Express,698,"$79.99, 79.99€ | "
Newbury Haunted High School,1474,"$129.99, 119.99€ | "
Spinjitzu Kai,97,"$9.99, 9.99€ | "
Spinjitzu Jay,97,"$9.99, 9.99€ | "
Spinjitzu Zane,109,"$9.99, 9.99€ | "
Spinjitzu Cole,117,"$9.99, 9.99€ | "
Spinjitzu Nya & Wu,227,"$19.99, 19.99€ | "
Spinjitzu Lloyd vs. Garmadon,208,"$19.99, 19.99€ | "
The Samurai Mech,154,"$14.99, 14.99€ | "
The Golden Dragon,171,"$19.99, 19.99€ | "
Kai's Blade Cycle & Zane's Snowmobile,376,"$29.99, 29.99€ | "
Jay's Storm Fighter,490,"$39.99, 39.99€ | "
Cole's Earth Driller ,587,"$49.99, 49.99€ | "
Monastery of Spinjitzu,1070,"$79.99, 79.99€ | "
Lloyd's Journey,81,"$14.99, 14.99€ | "
Cole's Dirt Bike,,"$19.99, 19.99€ | "
Shuricopter,,"$29.99, 29.99€ | "
Fire Fang,463,"$39.99, 44.99€ | "
Katana 4X4,450,"$49.99, 49.99€ | "
Lloyd's Titan Mech,876,"$79.99, 69.99€ | "
Land Bounty,,"$129.99, 129.99€ | "
Castle of the Forsaken Emperor,1218,$99.99 | 
The Ultra Dragon,951,"$84.99, 89.99€ | "
Monastery Training,122,"$9.99, 9.99€ | "
Spinjitzu Slam - Lloyd,70,"$9.99, 9.99€ | "
Spinjitzu Slam - Jay,,"$9.99, 9.99€ | "
Spinjitzu Slam - Zane,,"$9.99, 9.99€ | "
Spinjitzu Slam - Kai vs. Samurai,,"$19.99, 19.99€ | "
LEGO Movie Maker,482,"$49.99, 49.99€ | "
Emmet and Benny's 'Build and Fix' Workshop!,117,"$19.99, 19.99€ | "
Unikitty's Sweetest Friends EVER!,76,"$9.99, 9.99€ | "
Emmet's Thricycle!,174,"$14.99, 14.99€ | "
Introducing Queen Watevra Wa'Nabi,115,"$19.99, 19.99€ | "
Queen Watevra's Build Whatever Box!,455,"$39.99, 39.99€ | "
Rex's Rex-treme Offroader!,236,"$29.99, 29.99€ | "
Ultrakatty & Warrior Lucy!,348,"$29.99, 29.99€ | "
Pop-Up Party Bus,1024,"$79.99, 89.99€ | "
Emmet and Lucy's Escape Buggy!,550,"$49.99, 49.99€ | "
Sweet Mayhem's Systar Starship!,502,"$69.99, 69.99€ | "
Emmet's Dream House/Rescue Rocket!,706,"$69.99, 59.99€ | "
Emmet's Builder Box!,125,"$29.99, 29.99€ | "
Lucy's Builder Box!,141,"$29.99, 29.99€ | "
MetalBeard's Heavy Metal Motor Trike!,461,"$59.99, 59.99€ | "
Rex's Rexplorer!,1187,"$119.99, 119.99€ | "
Battle-Ready Batman and MetalBeard,168,"$19.99, 19.99€ | "
Shimmer & Shine Sparkle Spa!,691,"$69.99, 69.99€ | "
Queen Watevra's ‘So-Not-Evil' Space Palace,995,"$99.99, 99.99€ | "
The Rexcelsior!,1826,"$149.99, 149.99€ | "
Welcome to Apocalypseburg!,3178,"$299.99, 299.99€ | "
Benny's Space Squad,68,"$9.99, 9.99€ | "
Emmet's Triple-Decker Couch Mech,312,"$29.99, 29.99€ | "
Good Morning Sparkle Babies!,50,"$9.99, 9.99€ | "
Systar Party Crew,196,"$19.99, 19.99€ | "
Wyld-Mayhem Star Fighter,405,"$49.99, 49.99€ | "
LEGO Minifigures - The LEGO Movie 2: The Second Part {Random Bag},,
Awesome Remix Emmet,1,7
Battle-Ready Lucy,1,8
Apocalypse Benny,1,8
Giraffe Guy,1,6
Crayon Girl,1,6
Sherry Scratchen-Post & Scarfield,1,6
Hula Lula,1,8
Watermelon Dude,1,6
Flashback Lucy,1,7
Swamp Creature,1,6
Candy Rapper,1,8
Gone Golfin' President Business,1,6
Apocalypseburg Abe,1,7
Vest Friend Rex,1,6
Kitty Pop,1,7
Dorothy Gale & Toto,1,7
Cowardly Lion,1,6
Scarecrow,1,6
Tin Man,1,8
Unikitty,1,15
LEGO Minifigures - The LEGO Movie 2: The Second Part - Complete,,
LEGO Minifigures - The LEGO Movie 2: The Second Part - Sealed Box,,"$3.99, 3.99€ | "
LEGO Minifigures - The Disney Series 2 {Random bag},,
Vintage Mickey,1,5
Vintage Minnie,1,6
Huey,1,6
Dewey,1,6
Louie,1,7
Scrooge McDuck,1,7
Chip,1,5
Dale,1,4
Elsa,1,6
Anna,1,7
Jafar,1,7
Jasmine,1,5
Hades,1,5
Hercules,1,7
Sally,1,6
Jack Skellington,1,9
Edna Mode,1,7
Frozone,1,6
LEGO Minifigures - The Disney Series 2 - Complete,,
LEGO Minifigures - The Disney Series 2 - Sealed Box,,"$3.99, 3.99€ | "
LEGO Minifigures - Series 19 {Random Bag},,
Video Game Champ,,7
Shower Guy,,8
Fright Knight,,9
Monkey King,,12
Programmer,,9
Mummy Queen,,6
Jungle Explorer,,8
Fire Fighter,,6
