name,pieces,price
2x4 Blue Luggage Tag,,"$4.99, 7.99€ | "
LEGO Pencils 6 pack,,3.99€ | 
Building a Dream - The Story of the LEGO House,,
Emma Buildable Watch,,$24.99 | 
Boy Luggage Tag,,$5.99 | 
Emmet Alarm Clock,,"$29.99, 29.99€ | "
Wyldstyle Alarm Clock,,"$29.99, 29.99€ | "
Emmet Minifigure Link Watch,,"$24.99, 24.99€ | "
Unikitty Buildable Watch with Figure Link,,"$24.99, 24.99€ | "
Wyldstyle Minifigure Link Watch,,"$24.99, 24.99€ | "
Hot Dog Guy Key Light,,12.99€ | 
Banana Guy Key Light,,12.99€ | 
Batman Luggage Tag,,"$5.99, 7.99€ | "
Emmet Luggage Tag,,"$5.99, 7.99€ | "
Sweet Mayhem Luggage Tag,,"$5.99, 7.99€ | "
Unikitty Luggage Tag,,"$5.99, 7.99€ | "
Unikitty Night Light,,"$34.99, 34.99€ | "
Sticker roll,,"$3.99, 3.99€ | "
Batman Key Light,,12.99€ | 
Emmet Key Light,,12.99€ | 
Unikitty Key Light,,12.99€ | 
Boy NiteLite,,$24.99 | 
Girl NiteLite,,$24.99 | 
Unikitty Torch,,$19.99 | 
Bag Tag,,$4.99 | 
Lunch Set Iconic Girl,,$11.99 | 
The LEGO Movie 2 Awesome Trading Cards,,
The LEGO Movie 2 Awesome Collector Album,,
Holographic Brick Backpack,,$74.99 | 
Boba Fett Bag Tag,,"$5.99, 7.99€ | "
Darth Vader Bag Tag,,"$5.99, 7.99€ | "
R2 D2 Bag Tag,,"$5.99, 7.99€ | "
Yoda Bag Tag,,$5.99 | 
Ford Mustang / LEGO Key chain,,
20th Anniversary Darth Vader Brick Clock,,"$29.99, 29.99€ | "
20th Anniversary Darth Vader Link Watch,,"$24.99, 24.99€ | "
Stormtrooper Bag Tag,,$5.99 | 
Emmet Clip,,$5.99 | 
Unikitty Clip,,$5.99 | 
LEGO Star Wars Notebook with Gel Pen,,17.99€ | 
Sweet Mayhem Clip,,$5.99 | 
Benny Clip,,$5.99 | 
Emmet Minifigure Plush,,$19.99 | 
Unikitty Plush,,$19.99 | 
Captain Marvel Art Print,,
 Avengers: Endgame art print,,
THE LEGO MOVIE 2 The Second Part (Blu ray),,$39.99 | 
20th Anniversary Star Wars Poster,,
Star Wars 20th anniversary art print,,
Minifigure Notebook,,12.99€ | 
Lloyd Luggage Tag,,7.99€ | 
Mechanical Pencil,,3.99€ | 
2x4 Brick Luggage Tag,,7.99€ | 
NASA Apollo 11 Lunar Lander Patch,,
Reversible Canvas Tote Bag ,,
Minifigure Belight Backpack,,44.99€ | 
Friends Belight Backpack,,44.99€ | 
NINJAGO Belight Backpack,,44.99€ | 
NINJAGO Pencil Roll,,7.99€ | 
Friends Pencil Roll,,7.99€ | 
Minifigure Pencil Roll,,7.99€ | 
Teen Minifigure Backpack,,49.99€ | 
Minifigure Drawstring Bag,,11.99€ | 
Kindergarten Backpack,,19.99€ | 
Minifigure Lunch Box,,6.99€ | 
NINJAGO Lunch Box,,6.99€ | 
Stranger Things Poster,,
Back to School Pack,,
Japanese Patent LEGO Duplo Brick 1968 Art Print,,
Picnic Blanket,,
LEGO Lunch Box,,
Lion Dance,,
100 Stores minifigure,,
Beijing Brickheadz,,
Minifigure box,,
Löwenstein Castle,3,
Antique Fire Engine,,
Skyline Express,,
Wild West Saloon,,
Isle of Peril,,
Eight Studs,,
Science Tower,,
The LEGO Story,,
Imagine it! Build it!,,
Hot Shot Carnival ,,
Vintage Roadster,,
Bikes!,2,
Steampunk Mini Chess,,
Cologne Brickheadz,,
Cool Car,,
Easter Chick,,
Elephant,,
Mini Emmet's Dream House/Rescue Rocket,,
Flower,,
Ganymede,,
Mini Harley Davidson,,
Star Wars Visual Dictionary New Edition,,
Star Wars Build Your Own Adventure: Galactic Missions,,
Amazing Vehicles,,
Harry Potter Build Your Own Adventure,,
"NINJAGO Visual Dictionary, New Edition",,
Christmas Ideas,,
 Harry Potter The Magical Guide to the Wizarding World,,
"Lego Action Vehicles: Police Helicopter, Fire Truck, Ambulance, and More",,
"Expanding the LEGO Winter Village, Volume 2",,
Building LEGO BrickHeadz Heroes - Volume One: The Unofficial Guide,,
Building LEGO BrickHeadz Villains- Volume One: The Unofficial Guide ,,
Expanding the LEGO Winter Village,,
Building Tales with Syd and Friends,,
New York City Brick by Brick,,
The book of Bedtime Builds,,
Build It! Wild West,,
Build It! Monsters,,
Build a LEGO Mustang,,
The LEGO Castle Book: Build Your Own Mini Medieval World,,
Panda,,
Pig,,
Wally,1,
PS4 Spider-Man,1,
Zebra Batman,1,
Barb,2,
Golden Snitch,,
Castle Byers,,
Stormbreaker,1,
Tantive IV,,
Tree in the Woods,,
Mini X-Wing Fighter,1,
